text,label
"Your bank account is blocked. Click here to verify",phishing
"Win a free iPhone now",phishing
"Claim your lottery reward immediately",phishing
"Update your password now",phishing
"Urgent! Your account will be suspended",phishing
"Click here to receive your cashback",phishing
"Meeting scheduled for tomorrow",safe
"Project submission deadline extended",safe
"Your Amazon order has been shipped",safe
"Lets attend the college seminar",safe
"Team meeting at 3 PM",safe
"Your electricity bill has been generated",safe
